,Atta (Wheat)_1,Atta (Wheat)_2,Atta (Wheat)_3,Atta (Wheat)_4,Gram Dal_1,Gram Dal_2,Gram Dal_3,Gram Dal_4,Groundnut Oil (Packed)_1,Groundnut Oil (Packed)_2,Groundnut Oil (Packed)_3,Groundnut Oil (Packed)_4,Gur_1,Gur_2,Gur_3,Gur_4,Masoor Dal_1,Masoor Dal_2,Masoor Dal_3,Masoor Dal_4,Milk @_1,Milk @_2,Milk @_3,Milk @_4,Moong Dal_1,Moong Dal_2,Moong Dal_3,Moong Dal_4,Mustard Oil (Packed)_1,Mustard Oil (Packed)_2,Mustard Oil (Packed)_3,Mustard Oil (Packed)_4,Onion_1,Onion_2,Onion_3,Onion_4,Palm Oil (Packed)_1,Palm Oil (Packed)_2,Palm Oil (Packed)_3,Palm Oil (Packed)_4,Potato_1,Potato_2,Potato_3,Potato_4,Rice_1,Rice_2,Rice_3,Rice_4,Salt Pack (Iodised)_1,Salt Pack (Iodised)_2,Salt Pack (Iodised)_3,Salt Pack (Iodised)_4,Soya Oil (Packed)_1,Soya Oil (Packed)_2,Soya Oil (Packed)_3,Soya Oil (Packed)_4,Sugar_1,Sugar_2,Sugar_3,Sugar_4,Sunflower Oil (Packed)_1,Sunflower Oil (Packed)_2,Sunflower Oil (Packed)_3,Sunflower Oil (Packed)_4,Tea Loose_1,Tea Loose_2,Tea Loose_3,Tea Loose_4,Tomato_1,Tomato_2,Tomato_3,Tomato_4,Tur/Arhar Dal_1,Tur/Arhar Dal_2,Tur/Arhar Dal_3,Tur/Arhar Dal_4,Urad Dal_1,Urad Dal_2,Urad Dal_3,Urad Dal_4,Vanaspati (Packed)_1,Vanaspati (Packed)_2,Vanaspati (Packed)_3,Vanaspati (Packed)_4,Wheat_1,Wheat_2,Wheat_3,Wheat_4
2024-01-11,36.2,69,27,35,82.76,138,58,80,190.88,262,123,185,52.87,167,35,50,93.6,153,70,100,58.53,87,40,60,116.13,180,80,120,136.65,235,108,125,39.1,80,15,40,98.51,176,77,100,23.14,70,9,20,43.61,70,26,40,22.36,33,9,28,123.59,189,97,130,44.64,70,37,44,123.38,239,101,120,282.12,560,168,200,32.91,117,11,20,150.38,210,87,160,122.52,175,80,120,125.34,220,88,120,31.1,62,21,28
2024-01-12,36.28,69,27,35,82.97,138,58,80,191.29,262,122,190,52.84,167,35,50,93.33,153,70,100,58.37,83,40,60,115.69,151,80,120,136.76,235,109,130,38.99,80,20,40,98.53,176,83,100,23.18,70,9,20,43.65,70,26,40,22.31,33,9,28,123.66,189,97,130,44.53,60,37,44,123.55,235,101,120,281.47,560,157,200,32.41,88,12,20,149.99,210,87,160,122.42,175,80,120,125.92,220,88,120,31.16,54,21,28
2024-01-13,36.53,69,27,35,82.62,133,60,80,190.09,262,122,200,52.09,167,36,50,93.07,153,70,100,58.59,80,40,60,115.96,151,87,120,135.71,235,109,127.5,38.2,80,14,40,98.16,176,77,90,22.18,60,9,20,43.14,70,26,40,22.55,33,9,28,120.83,180,97,130,44.69,70,38,44,123.79,235,101,120,276.84,559,157,243.33,31.63,80,12,20,150.73,193,87,160,122.64,165,82,120,124.49,220,88,120,31.14,54,21,28
2024-01-14,36.52,64,27,35,82.28,133,60,80,188.49,260,126,185,51.19,167,36,50,93.47,153,70,80,57.49,80,40,60,115.87,150,87,120,135.24,235,109,125,36.25,70,14,30,97.41,170,77,100,22.23,60,9,20,44.1,70,27,40,23,33,9,28,118.99,180,97,110,43.98,55,38,44,122.67,203,101,122.5,276.21,559,157,280,29.66,70,13,20,151.88,193,87,155,122.51,165,85,120,122.07,220,88,120,31.08,54,21,28
2024-01-15,36.33,69,27,35,83.14,138,58,80,190.27,262,122,190,52.99,167,36,50,93.81,135,70,100,59,83,40,60,116.29,180,87,120,135.77,230,109,130,38.33,80,15,40,98.57,176,77,100,22.27,70,9,20,42.99,70,23,40,22.5,30,9,28,122.71,189,97,110,44.73,70,37,44,123.65,235,101,122.5,279.01,559,157,300,32.04,88,11,20,149.62,195,87,155,122.03,175,85,120,124.99,220,88,120,31.06,54,21,28
2024-01-16,36.19,69,27,35,82.88,138,58,80,190.44,262,125,200,52.67,167,36,50,93.71,153,70,100,58.63,83,40,60,115.91,180,87,120,136.23,235,108,130,38.26,80,17,30,98.89,176,77,95,22.67,70,9,20,43.16,70,23,40,22.64,33,9,28,123.36,189,97,115,44.62,70,38,44,123.8,228,101,120,281.84,559,157,250,31.92,88,12,20,149.15,210,87,155,121.83,164,82,120,125.49,220,88,120,31.16,54,21,28
2024-01-17,36.46,69,27,35,83.47,138,60,80,190.86,262,122,190,53.49,167,36,50,94.49,153,70,100,59.45,83,40,60,116.98,180,87,120,135.83,235,109,130,38.08,80,18,30,98.56,176,77,90,23.1,70,9,20,43.6,70,23,40,22.26,33,9,28,121,189,97,115,44.76,70,38,44,123.15,225,101,120,281.58,559,157,200,32,88,11,20,150.71,210,87,160,123.16,175,82,120,125.75,220,88,120,31.37,54,21,28
2024-01-18,36.27,69,27,35,82.97,139,60,80,190.37,262,122,190,52.87,167,36,50,93.65,153,70,100,58.54,87,40,60,116.1,180,80,120,136.33,235,108,130,37.93,80,18,30,98.42,176,77,90,22.88,70,9,20,43.66,70,23,40,22.4,31,9,28,123.12,189,97,110,44.6,70,38,44,123.57,235,101,117.5,280.58,547,157,250,31.96,88,11,20,149.59,210,87,160,122.42,175,80,120,125.55,220,88,120,31.11,62,21,28
2024-01-19,36.36,69,27,35,82.85,139,58,80,190.53,262,122,190,52.85,167,36,50,93.46,153,70,100,58.48,83,40,60,115.86,180,80,120,136.5,235,108,130,37.76,80,18,30,98.52,176,77,90,22.82,70,9,20,43.69,70,26,40,22.37,31,9,28,122.77,189,97,120,44.58,70,38,44,123.56,235,101,120,280.77,559,157,300,31.78,88,11,20,149.46,210,87,160,122.17,175,80,120,125.11,220,88,120,31.19,62,21,28
2024-01-20,36.54,69,28,35,82.7,139,60,80,191.51,262,122,190,52.48,167,36,50,93.56,153,70,100,58.85,80,40,60,116.15,156,90,120,136.33,235,110,130,37.15,80,18,30,98.59,176,77,90,22.24,70,9,20,43.52,70,26,40,22.34,31,9,28,121.8,189,97,120,44.55,70,38,45,123.48,235,98,120,277.45,559,157,260,31.15,80,12,20,150.38,210,87,150,122.74,175,82,120,125.09,220,88,120,31.27,54,21,28
